name,ticker,pe ratio,sector
AARTIIND,aartiind.ns,47.2,Others
ABB,abb.ns,67.0,Others
ABBOTINDIA,abbotindia.ns,47.5,Others
ADANIENT,adanient.ns,108.0,Others
ADANIPORTS,adaniports.ns,101.0,Others
AMBUJACEM,ambujacem.ns,35.0,Others
APOLLOHOSP,apollohosp.ns,78.4,Others
ASIANPAINT,asianpaint.ns,56.8,Paints
AUROPHARMA,auropharma.ns,36.8,Pharma
AXISBANK,axisbank.ns,14.4,Banking
BAJAJ-AUTO,bajaj-auto.ns,28.7,Auto
BAJAJFINSV,bajajfinsv.ns,204.0,Others
BAJFINANCE,bajfinance.ns,38.2,Financial Services
BALKRISIND,balkrisind.ns,28.7,Others
BANDHANBNK,bandhanbnk.ns,10.6,Others
BANKBARODA,bankbaroda.ns,6.19,Banking
BANKINDIA,bankindia.ns,5.68,Banking
BEL,bel.ns,56.4,Others
BHARTIARTL,bhartiartl.ns,58.0,Others
BPCL,bpcl.ns,9.32,Others
BRITANNIA,britannia.ns,62.6,Information Technology
CANBK,canbk.ns,5.71,Others
CANFINHOME,canfinhome.ns,11.9,Others
CERA,cera.ns,34.7,Others
CHOLAFIN,cholafin.ns,30.8,Others
CIPLA,cipla.ns,24.6,Others
COALINDIA,coalindia.ns,14.1,Others
CONCOR,concor.ns,34.7,Others
CROMPTON,crompton.ns,39.4,Others
CUMMINSIND,cumminsind.ns,47.6,Others
DEEPAKNTR,deepakntr.ns,93.5,Others
DIVISLAB,divislab.ns,79.2,Pharma
DRREDDY,drreddy.ns,20.7,Others
EICHERMOT,eichermot.ns,35.4,Others
ESCORTS,escorts.ns,31.6,Others
FEDERALBNK,federalbnk.ns,12.6,Others
FINEORG,fineorg.ns,35.8,Others
GAIL,gail.ns,12.6,Others
GRASIM,grasim.ns,583.0,Others
HAL,hal.ns,40.0,Others
HCLTECH,hcltech.ns,38.5,Information Technology
HDFCBANK,hdfcbank.ns,22.4,Banking
HDFCLIFE,hdfclife.ns,93.1,Others
HEROMOTOCO,heromotoco.ns,18.8,Others
HINDALCO,hindalco.ns,22.8,Others
HINDUNILVR,hindunilvr.ns,52.5,Others
ICICIBANK,icicibank.ns,21.6,Banking
ICICIGI,icicigi.ns,39.0,Others
ICICIPRULI,icicipruli.ns,77.1,Others
IDFCFIRSTB,idfcfirstb.ns,33.8,Others
IGL,igl.ns,19.6,Others
INDIANB,indianb.ns,7.6,Others
INDUSINDBK,indusindbk.ns,24.8,Banking
INFY,infy.ns,26.4,Others
IOC,ioc.ns,17.1,Others
IRCTC,irctc.ns,47.2,Others
ITC,itc.ns,26.6,FMCG
JSWSTEEL,jswsteel.ns,36.0,Metals & Mining
KARURVYSYA,karurvysya.ns,10.2,Others
KOTAKBANK,kotakbank.ns,31.3,Banking
L&TFH,l&tfh.ns,,Others
LODHA,lodha.ns,67.6,Others
LT,lt.ns,43.3,Others
LTI,lti.ns,,Others
M&M,m&m.ns,33.4,Others
MARUTI,maruti.ns,28.8,Others
MOTHERSON,motherson.ns,67.0,Others
MPHASIS,mphasis.ns,33.5,Others
NAM-INDIA,nam-india.ns,38.5,Others
NAVINFLUOR,navinfluor.ns,96.0,Others
NESTLEIND,nestleind.ns,73.5,Others
NTPC,ntpc.ns,16.5,Others
ONGC,ongc.ns,8.9,Others
PEL,pel.ns,50.9,Others
PERSISTENT,persistent.ns,82.7,Others
PETRONET,petronet.ns,11.3,oil
PIIND,piind.ns,33.5,Others
PNB,pnb.ns,7.12,Others
POWERGRID,powergrid.ns,17.8,Energy
RAJESHEXPO,rajeshexpo.ns,,Others
RBLBANK,rblbank.ns,20.0,Banking
RELIANCE,reliance.ns,56.3,Others
SBILIFE,sbilife.ns,75.2,Others
SBIN,sbin.ns,10.0,Others
SHREECEM,shreecem.ns,87.1,Others
SRF,srf.ns,70.9,Others
SUNPHARMA,sunpharma.ns,93.3,Pharma
TATACONSUM,tataconsum.ns,91.0,Others
TATAELXSI,tataelxsi.ns,50.1,Others
TATAMOTORS,tatamotors.ns,43.8,Auto
TATAPOWER,tatapower.ns,40.2,Energy
TATASTEEL,tatasteel.ns,13.0,Metals & Mining
TCS,tcs.ns,25.9,IT
TECHM,techm.ns,47.4,Information Technology
TITAN,titan.ns,93.7,Information Technology
TORNTPHARM,torntpharm.ns,56.3,Others
ULTRACEMCO,ultracemco.ns,53.9,Others
UPL,upl.ns,96.8,Others
VOLTAS,voltas.ns,56.0,Others
WIPRO,wipro.ns,25.9,Others
YESBANK,yesbank.ns,25.7,Banking
